TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,LAT,LON,DATETIME
Theft of Bicycle,2003,1,1,0,0,30XX W 4TH AVE,Kitsilano,49.268398689498156,-123.17290602788204,2003-01-01 00:00:00
Theft of Bicycle,2003,1,1,0,0,6X KEEFER PL,Central Business District,49.27961694710879,-123.10681566139874,2003-01-01 00:00:00
Theft of Bicycle,2003,1,1,0,5,11XX HORNBY ST,Central Business District,49.278699523122704,-123.1277904933521,2003-01-01 00:05:00
Theft of Bicycle,2003,1,1,13,30,X NK_LOC ST,,49.281842998167036,-123.09958228890112,2003-01-01 13:30:00
Theft of Bicycle,2003,1,2,1,0,10XX JERVIS ST,West End,49.284856779413936,-123.13187275170056,2003-01-02 01:00:00
Theft of Bicycle,2003,1,3,0,19,2XX N TEMPLETON DR,Grandview-Woodland,49.28678353905765,-123.05974266980715,2003-01-03 00:19:00
Theft of Bicycle,2003,1,3,20,0,20XX MAPLE ST,Kitsilano,49.26740166252403,-123.15034995481321,2003-01-03 20:00:00
Theft of Bicycle,2003,1,4,3,30,10XX W 14TH AVE,Fairview,49.25870660961634,-123.12855287693225,2003-01-04 03:30:00
Theft of Bicycle,2003,1,4,14,0,9XX NELSON ST,Central Business District,49.28076912030619,-123.12544752839645,2003-01-04 14:00:00
Theft of Bicycle,2003,1,4,15,0,22XX W 1ST AVE,Kitsilano,49.27087797721901,-123.15598842047228,2003-01-04 15:00:00
Theft of Bicycle,2003,1,4,16,0,25XX W BROADWAY AVE,Kitsilano,49.26406119558826,-123.16382910841043,2003-01-04 16:00:00
Theft of Bicycle,2003,1,4,20,0,12XX COMOX ST,West End,49.283400612687956,-123.1316528044345,2003-01-04 20:00:00
Theft of Bicycle,2003,1,5,8,0,30XX W 4TH AVE,Kitsilano,49.2684792853979,-123.17272971720756,2003-01-05 08:00:00
Theft of Bicycle,2003,1,5,11,0,9XX SEYMOUR ST,Central Business District,49.27927750660561,-123.12088965211859,2003-01-05 11:00:00
Theft of Bicycle,2003,1,5,14,0,19XX HARO ST,West End,49.29230741065856,-123.13897104219429,2003-01-05 14:00:00
Theft of Bicycle,2003,1,5,15,0,19XX WHYTE AVE,Kitsilano,49.275309915853065,-123.14888067771786,2003-01-05 15:00:00
Theft of Bicycle,2003,1,5,17,0,19XX ROBSON ST,West End,49.29282304153627,-123.13744023992574,2003-01-05 17:00:00
Theft of Bicycle,2003,1,5,22,0,18XX ALBERNI ST,West End,49.292486497531634,-123.1349532420879,2003-01-05 22:00:00
Theft of Bicycle,2003,1,6,0,0,18XX ALBERNI ST,West End,49.292486497531634,-123.1349532420879,2003-01-06 00:00:00
Theft of Bicycle,2003,1,6,13,0,MAIN ST / TERMINAL AV,Mount Pleasant,49.27277639817838,-123.10010350004725,2003-01-06 13:00:00
Theft of Bicycle,2003,1,6,16,30,7XX E 7TH AVE,Mount Pleasant,49.264368917216075,-123.08852039362017,2003-01-06 16:30:00
Theft of Bicycle,2003,1,6,18,30,13XX W GEORGIA ST,Central Business District,49.2884483215735,-123.12726923983351,2003-01-06 18:30:00
Theft of Bicycle,2003,1,7,0,1,18XX ALBERNI ST,West End,49.292486497531634,-123.1349532420879,2003-01-07 00:01:00
Theft of Bicycle,2003,1,7,5,30,23XX W 10TH AVE,Kitsilano,49.26297745623647,-123.1578742325893,2003-01-07 05:30:00
