TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Bicycle,2003,8,28,22,0,29XX ASH ST,Fairview,491442.67901499994,5456291.18456
Theft of Bicycle,2003,10,3,16,28,20XX WALL ST,Grandview-Woodland,495505.932258,5459267.2854
Theft of Bicycle,2003,8,20,20,30,20XX YORK AVE,Kitsilano,488974.18152,5457668.2516
Theft of Bicycle,2003,6,17,8,0,7XX TEMPLETON DR,Grandview-Woodland,495645.272537,5458367.611330001
Theft of Bicycle,2003,8,7,8,0,7XX TEMPLETON DR,Grandview-Woodland,495645.272537,5458367.611330001
Theft of Bicycle,2003,6,23,13,15,7XX TEMPLETON DR,Grandview-Woodland,495654.594502,5458388.71169
Theft of Bicycle,2003,5,6,1,0,21XX ALMA ST,West Point Grey,486483.198261,5457216.56689
Theft of Bicycle,2003,11,5,14,15,10XX W 29TH AVE,Shaughnessy,490595.73447200004,5454749.59146
Theft of Bicycle,2003,2,18,20,0,21XX E 3RD AVE,Grandview-Woodland,495516.87763100007,5457215.51296
Theft of Bicycle,2003,12,18,19,20,21XX E 7TH AVE,Grandview-Woodland,495582.792718,5456816.99491
Theft of Bicycle,2003,11,29,12,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,10,25,17,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,7,25,17,25,HOMER ST / PACIFIC BLVD,Central Business District,490842.176437,5457816.52152
Theft of Bicycle,2003,10,8,23,0,HOMER ST / PACIFIC ST,Central Business District,490842.176437,5457816.52152
Theft of Bicycle,2003,9,6,15,30,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,5,29,14,0,HOMER ST / ROBSON ST,Central Business District,491498.875671,5458530.82929
Theft of Bicycle,2003,8,21,15,30,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,9,1,16,0,12XX BURNABY ST,West End,490180.91009399993,5458745.198340001
Theft of Bicycle,2003,8,20,13,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,8,16,14,20,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,8,16,14,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,8,16,13,30,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
Theft of Bicycle,2003,10,24,18,0,20XX W BROADWAY AVE,Kitsilano,489038.294384,5456786.44739
Theft of Bicycle,2003,7,16,18,0,10XX W 6TH AVE,Fairview,490785.91199399997,5457038.8492
Theft of Bicycle,2003,5,25,1,0,12XX BURNABY ST,West End,490152.25751,5458787.77254
Theft of Bicycle,2003,8,10,18,0,20XX W 8TH AVE,Kitsilano,489010.017528,5456890.41506
Theft of Bicycle,2003,2,20,2,0,20XX W 3RD AVE,Kitsilano,488964.291817,5457376.58229
Theft of Bicycle,2003,8,13,16,0,12XX BROUGHTON ST,West End,490022.28801899997,5458931.739519999
Theft of Bicycle,2003,8,21,21,45,10XX W BROADWAY AVE,Fairview,490778.892987,5456741.46766
Theft of Bicycle,2003,12,4,6,0,7XX HAMILTON ST,Central Business District,491686.992379,5458572.77611
Theft of Bicycle,2003,7,30,11,30,3XX W GEORGIA ST,Central Business District,491683.232945,5458582.49372
Theft of Bicycle,2003,2,22,15,10,3XX W GEORGIA ST,Central Business District,491683.232945,5458582.49372
Theft of Bicycle,2003,10,3,15,0,16XX KITCHENER ST,Grandview-Woodland,494824.44770600006,5457716.62312
Theft of Bicycle,2003,7,8,19,0,HELMCKEN ST / HOWE ST,Central Business District,490862.933241,5458462.14513
Theft of Bicycle,2003,11,1,0,0,7XX JACKSON AVE,Strathcona,493200.038295,5458403.77895
Theft of Bicycle,2003,4,9,14,0,7XX JERVIS ST,West End,490661.176261,5459384.57212
Theft of Bicycle,2003,3,30,0,0,12XX BURNABY ST,West End,490193.336274,5458732.4223
Theft of Bicycle,2003,10,26,18,30,20XX W 4TH AVE,Kitsilano,489044.14285500004,5457264.5467300005
Theft of Bicycle,2003,8,10,16,30,10XX W 8TH AVE,Fairview,490724.577962,5456854.31012
