,index,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
0,234126,Theft of Bicycle,2003,8,28,22,0,29XX ASH ST,Fairview,491442.67901499994,5456291.18456
1,231190,Theft of Bicycle,2003,10,3,16,28,20XX WALL ST,Grandview-Woodland,495505.932258,5459267.2854
2,231198,Theft of Bicycle,2003,8,20,20,30,20XX YORK AVE,Kitsilano,488974.18152,5457668.2516
3,243422,Theft of Bicycle,2003,6,17,8,0,7XX TEMPLETON DR,Grandview-Woodland,495645.272537,5458367.611330001
4,243423,Theft of Bicycle,2003,8,7,8,0,7XX TEMPLETON DR,Grandview-Woodland,495645.272537,5458367.611330001
5,243452,Theft of Bicycle,2003,6,23,13,15,7XX TEMPLETON DR,Grandview-Woodland,495654.594502,5458388.71169
6,231223,Theft of Bicycle,2003,5,6,1,0,21XX ALMA ST,West Point Grey,486483.198261,5457216.56689
7,221531,Theft of Bicycle,2003,11,5,14,15,10XX W 29TH AVE,Shaughnessy,490595.73447200004,5454749.59146
8,231298,Theft of Bicycle,2003,2,18,20,0,21XX E 3RD AVE,Grandview-Woodland,495516.87763100007,5457215.51296
9,231309,Theft of Bicycle,2003,12,18,19,20,21XX E 7TH AVE,Grandview-Woodland,495582.792718,5456816.99491
10,226910,Theft of Bicycle,2003,11,29,12,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
11,226909,Theft of Bicycle,2003,10,25,17,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
12,249864,Theft of Bicycle,2003,7,25,17,25,HOMER ST / PACIFIC BLVD,Central Business District,490842.176437,5457816.52152
13,249865,Theft of Bicycle,2003,10,8,23,0,HOMER ST / PACIFIC ST,Central Business District,490842.176437,5457816.52152
14,226908,Theft of Bicycle,2003,9,6,15,30,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
15,249868,Theft of Bicycle,2003,5,29,14,0,HOMER ST / ROBSON ST,Central Business District,491498.875671,5458530.82929
16,226907,Theft of Bicycle,2003,8,21,15,30,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
17,222997,Theft of Bicycle,2003,9,1,16,0,12XX BURNABY ST,West End,490180.91009399993,5458745.198340001
18,226906,Theft of Bicycle,2003,8,20,13,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
19,226905,Theft of Bicycle,2003,8,16,14,20,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
20,226904,Theft of Bicycle,2003,8,16,14,0,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
21,226903,Theft of Bicycle,2003,8,16,13,30,16XX JOHNSTON ST,Fairview,490124.95457,5457766.16945
22,231181,Theft of Bicycle,2003,10,24,18,0,20XX W BROADWAY AVE,Kitsilano,489038.294384,5456786.44739
23,221545,Theft of Bicycle,2003,7,16,18,0,10XX W 6TH AVE,Fairview,490785.91199399997,5457038.8492
24,222973,Theft of Bicycle,2003,5,25,1,0,12XX BURNABY ST,West End,490152.25751,5458787.77254
25,231166,Theft of Bicycle,2003,8,10,18,0,20XX W 8TH AVE,Kitsilano,489010.017528,5456890.41506
26,231097,Theft of Bicycle,2003,2,20,2,0,20XX W 3RD AVE,Kitsilano,488964.291817,5457376.58229
27,222946,Theft of Bicycle,2003,8,13,16,0,12XX BROUGHTON ST,West End,490022.28801899997,5458931.739519999
28,221580,Theft of Bicycle,2003,8,21,21,45,10XX W BROADWAY AVE,Fairview,490778.892987,5456741.46766
29,243088,Theft of Bicycle,2003,12,4,6,0,7XX HAMILTON ST,Central Business District,491686.992379,5458572.77611
30,237679,Theft of Bicycle,2003,7,30,11,30,3XX W GEORGIA ST,Central Business District,491683.232945,5458582.49372
31,237678,Theft of Bicycle,2003,2,22,15,10,3XX W GEORGIA ST,Central Business District,491683.232945,5458582.49372
32,227122,Theft of Bicycle,2003,10,3,15,0,16XX KITCHENER ST,Grandview-Woodland,494824.44770600006,5457716.62312
33,249818,Theft of Bicycle,2003,7,8,19,0,HELMCKEN ST / HOWE ST,Central Business District,490862.933241,5458462.14513
34,243167,Theft of Bicycle,2003,11,1,0,0,7XX JACKSON AVE,Strathcona,493200.038295,5458403.77895
35,243168,Theft of Bicycle,2003,4,9,14,0,7XX JERVIS ST,West End,490661.176261,5459384.57212
36,223002,Theft of Bicycle,2003,3,30,0,0,12XX BURNABY ST,West End,490193.336274,5458732.4223
37,231134,Theft of Bicycle,2003,10,26,18,30,20XX W 4TH AVE,Kitsilano,489044.14285500004,5457264.5467300005
38,221564,Theft of Bicycle,2003,8,10,16,30,10XX W 8TH AVE,Fairview,490724.577962,5456854.31012
39,231139,Theft of Bicycle,2003,8,12,20,0,20XX W 5TH AVE,Kitsilano,488945.908158,5457179.61885
40,227099,Theft of Bicycle,2003,10,13,17,30,16XX JOHNSTON ST,Fairview,490171.84064799995,5457693.93987
41,227098,Theft of Bicycle,2003,7,26,13,0,16XX JOHNSTON ST,Fairview,490171.84064799995,5457693.93987
42,243223,Theft of Bicycle,2003,4,10,23,0,7XX MILLYARD ST,Fairview,491218.014862,5457115.53255
43,243265,Theft of Bicycle,2003,9,20,18,15,7XX PACIFIC BLVD,Central Business District,492005.869165,5458173.621280001
44,243353,Theft of Bicycle,2003,7,25,14,0,7XX PACIFIC BLVD,Central Business District,492064.541734,5458220.22237
45,231160,Theft of Bicycle,2003,10,7,6,0,20XX W 8TH AVE,Kitsilano,488936.65547600004,5456893.14056
46,231162,Theft of Bicycle,2003,7,18,13,43,20XX W 8TH AVE,Kitsilano,488949.753571,5456901.804269999
47,231165,Theft of Bicycle,2003,3,5,19,0,20XX W 8TH AVE,Kitsilano,489010.017528,5456890.41506
48,221565,Theft of Bicycle,2003,8,25,13,30,10XX W 8TH AVE,Fairview,490781.553314,5456843.86996
49,231092,Theft of Bicycle,2003,9,14,16,0,20XX W 30TH AVE,Arbutus Ridge,489047.481447,5454704.91539
50,221511,Theft of Bicycle,2003,9,26,17,0,10XX W 14TH AVE,Fairview,490649.54989399994,5456232.62099
51,243495,Theft of Bicycle,2003,7,5,2,30,7XX UNION ST,Strathcona,493522.190566,5458301.14485
52,243703,Theft of Bicycle,2003,8,9,16,30,7XX W GEORGIA ST,Central Business District,491407.744286,5458871.83908
53,243713,Theft of Bicycle,2003,7,21,16,30,7XX W HASTINGS ST,Central Business District,491682.53073,5459224.305319999
54,243724,Theft of Bicycle,2003,8,21,18,30,7XX W HASTINGS ST,Central Business District,491713.79580200004,5459180.08949
55,243743,Theft of Bicycle,2003,3,3,14,30,7XX W PENDER ST,Central Business District,491636.7109,5459123.3509599995
56,226699,Theft of Bicycle,2003,9,8,23,0,16XX E 10TH AVE,Kensington-Cedar Cottage,494870.717208,5456512.69539
57,243773,Theft of Bicycle,2003,8,15,19,30,81XX ELLIOTT ST,Killarney,495962.41071400006,5450770.78091
58,226689,Theft of Bicycle,2003,1,31,15,0,16XX DURANLEAU ST,Fairview,490114.959334,5457714.04586
59,237482,Theft of Bicycle,2003,12,23,16,0,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
60,231402,Theft of Bicycle,2003,2,6,16,0,21XX W 10TH AVE,Kitsilano,488732.318163,5456696.87805
61,231403,Theft of Bicycle,2003,8,26,18,0,21XX W 10TH AVE,Kitsilano,488732.318163,5456696.87805
62,237481,Theft of Bicycle,2003,11,4,17,30,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
63,226688,Theft of Bicycle,2003,10,19,14,0,16XX DURANLEAU ST,Fairview,490114.585154,5457699.29895
64,237480,Theft of Bicycle,2003,10,22,13,0,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
