DATE/TIME,YEAR,MONTH,DAY,HOUR,MINUTE,WEATHER,DATE,WEATHERCOND
2016-01-01 01:00:00,2016,1,1,1,0,Clear,2016-01-01,Good
2016-01-01 04:00:00,2016,1,1,4,0,Clear,2016-01-01,Good
2016-01-01 07:00:00,2016,1,1,7,0,Clear,2016-01-01,Good
2016-01-01 10:00:00,2016,1,1,10,0,Clear,2016-01-01,Good
2016-01-01 13:00:00,2016,1,1,13,0,Clear,2016-01-01,Good
2016-01-01 16:00:00,2016,1,1,16,0,Clear,2016-01-01,Good
2016-01-01 19:00:00,2016,1,1,19,0,Clear,2016-01-01,Good
2016-01-01 22:00:00,2016,1,1,22,0,Clear,2016-01-01,Good
2016-01-02 01:00:00,2016,1,2,1,0,Clear,2016-01-02,Good
2016-01-02 04:00:00,2016,1,2,4,0,Clear,2016-01-02,Good
2016-01-02 07:00:00,2016,1,2,7,0,Fog,2016-01-02,Bad
2016-01-02 10:00:00,2016,1,2,10,0,Mainly Clear,2016-01-02,Good
2016-01-02 11:00:00,2016,1,2,11,0,Fog,2016-01-02,Bad
2016-01-02 12:00:00,2016,1,2,12,0,Fog,2016-01-02,Bad
2016-01-02 13:00:00,2016,1,2,13,0,Mainly Clear,2016-01-02,Good
2016-01-02 16:00:00,2016,1,2,16,0,Mainly Clear,2016-01-02,Good
2016-01-02 19:00:00,2016,1,2,19,0,Freezing Fog,2016-01-02,Bad
2016-01-02 20:00:00,2016,1,2,20,0,Freezing Fog,2016-01-02,Bad
2016-01-02 21:00:00,2016,1,2,21,0,Freezing Fog,2016-01-02,Bad
2016-01-02 22:00:00,2016,1,2,22,0,Freezing Fog,2016-01-02,Bad
2016-01-02 23:00:00,2016,1,2,23,0,Fog,2016-01-02,Bad
2016-01-03 00:00:00,2016,1,3,0,0,Freezing Fog,2016-01-03,Bad
2016-01-03 01:00:00,2016,1,3,1,0,Fog,2016-01-03,Bad
2016-01-03 02:00:00,2016,1,3,2,0,Fog,2016-01-03,Bad
2016-01-03 03:00:00,2016,1,3,3,0,Freezing Fog,2016-01-03,Bad
2016-01-03 04:00:00,2016,1,3,4,0,Freezing Fog,2016-01-03,Bad
2016-01-03 05:00:00,2016,1,3,5,0,Freezing Fog,2016-01-03,Bad
2016-01-03 06:00:00,2016,1,3,6,0,Fog,2016-01-03,Bad
2016-01-03 07:00:00,2016,1,3,7,0,Freezing Fog,2016-01-03,Bad
2016-01-03 08:00:00,2016,1,3,8,0,Freezing Fog,2016-01-03,Bad
