"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 00:00","2016","03","01","00:00","7.2","","3.5","","77","","9","","19","","24.1","","101.48","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 01:00","2016","03","01","01:00","7.3","","3.4","","76","","9","","23","","24.1","","101.45","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 02:00","2016","03","01","02:00","7.5","","3.4","","75","","7","","20","","19.3","","101.29","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 03:00","2016","03","01","03:00","7.1","","3.5","","78","","7","","14","","16.1","","101.15","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 04:00","2016","03","01","04:00","7.3","","3.2","","75","","7","","26","","12.9","","101.03","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 05:00","2016","03","01","05:00","6.4","","3.7","","83","","7","","19","","12.9","","100.95","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 06:00","2016","03","01","06:00","6.3","","3.8","","84","","7","","26","","12.9","","100.75","","","","","","Moderate Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 07:00","2016","03","01","07:00","6.2","","4.0","","86","","7","","25","","16.1","","100.59","","","","","","Moderate Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 08:00","2016","03","01","08:00","6.7","","4.5","","86","","6","","19","","24.1","","100.42","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 09:00","2016","03","01","09:00","6.8","","5.0","","88","","7","","19","","12.9","","100.31","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 10:00","2016","03","01","10:00","6.2","","5.3","","94","","8","","17","","24.1","","100.16","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 11:00","2016","03","01","11:00","7.0","","5.8","","92","","9","","23","","24.1","","99.93","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 12:00","2016","03","01","12:00","7.7","","6.0","","89","","9","","37","","19.3","","99.82","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 13:00","2016","03","01","13:00","8.4","","6.4","","87","","9","","37","","16.1","","99.75","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 14:00","2016","03","01","14:00","9.6","","7.2","","85","","9","","37","","24.1","","99.64","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 15:00","2016","03","01","15:00","10.7","","8.0","","83","","16","","37","","16.1","","99.70","","","","","","Rain"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 16:00","2016","03","01","16:00","10.2","","8.2","","87","","14","","27","","24.1","","99.80","","","","","","Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 17:00","2016","03","01","17:00","9.8","","5.8","","76","","18","","35","","24.1","","99.98","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 18:00","2016","03","01","18:00","9.4","","5.4","","76","","16","","21","","24.1","","100.19","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 19:00","2016","03","01","19:00","9.1","","4.5","","73","","14","","23","","24.1","","100.39","","","","","","Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2016-03-01 20:00","2016","03","01","20:00","8.2","","4.8","","79","","12","","21","","24.1","","100.49","","","","","","NA"
